FID,GEONAME,GENERIC,X,Y
4705,Lois Hole Centennial Provincial Park,Provincial Park,-113.7308333,53.5955555
4706,Lois Lake,Lake,-115.3083333,54.7025
4707,Lombell,Locality,-115.304444399999,54.0780555999999
4708,Lomond,Village,-112.640555599999,50.3494444999999
4709,Lone Creek,Creek,-114.0894444,49.1116667
4710,Lone Eagle Butte,Butte,-110.720833299999,50.4794443999999
4711,Lone Lake,Lake,-114.131111099999,49.0886111
4712,Lone Mountain,Mountain,-114.123888899999,49.1038889
4713,Lone Pine,Locality,-115.1147222,54.3058333999999
4714,Lone Pine Lake,Lake,-112.0636111,54.4294445
4715,Lone Teepee Creek,Creek,-118.6508333,53.9208333999999
4716,Lonebutte,Locality,-112.1519444,51.3447222
4717,Lonely Valley Creek,Creek,-112.6183333,49.1452778
4718,Lonepine Creek,Creek,-113.501944399999,51.5827778
4719,Lonepine Lake,Lake,-112.5677778,52.2313888999999
4720,Lonesome Coulee,Coulee,-110.4925,50.865
4721,Lonesome Lake,Lake,-113.8922222,49.0741666999999
4722,Lonesome Lake,Lake,-112.287499999999,50.3713888999999
4723,Long Coulee,Coulee,-112.9702778,50.2216665999999
4724,Long End Lake,Lake,-114.381111099999,54.5902778
4725,Long Island,Island,-118.015,55.9127778
4726,Long Island,Island,-111.9494444,54.8219444
4727,Long Island,Island,-112.861944399999,53.6722222
4728,Long Island Lake,Lake,-113.7905556,54.4541666
4729,Long Island Point,Point,-112.8680556,53.6761111
4730,Long Lake,Lake,-113.0769444,55.7755555999999
4731,Long Lake,Lake,-110.864166699999,56.31
4732,Long Lake,Lake,-113.8502778,53.0561111
4733,Long Lake,Lake,-114.6313889,56.7238888999999
4734,Long Lake,Lake,-113.655277799999,54.5788889
4735,Long Lake,Lake,-117.5619444,54.9055556
4736,Long Lake,Lake,-111.018055599999,57.9638889
4737,Long Lake,Lake,-113.3038889,54.6344444
4738,Long Lake,Lake,-110.956388899999,56.4116666999999
4739,Long Lake,Lake,-118.816666699999,54.4061110999999
4740,Long Lake,Lake,-110.1591667,53.8672222
4741,Long Lake Provincial Park,Provincial Park,-112.771111099999,54.4430556
4742,Long Prairie Creek,Creek,-114.465,50.6283334
4743,Long Rapids,Rapids,-111.9938889,56.5936110999999
4744,Long's Lake,Lake,-112.161111099999,49.0222222
4745,Longhurst Lake,Lake,-114.008611099999,53.4533332999999
4746,Longview,Village,-114.2308333,50.5308332999999
4747,Longview Hill,Hill,-114.2047222,50.5469444
